name,ic_mean,ic_std,ic_ir,ic_positive_ratio,category,depends_on_volume,ic_AUDUSD,ic_EURUSD,ic_GBPUSD,ic_USDJPY,ic_XAUUSD
BETA10,-0.16018602364221177,0.09943521182325352,-1.6109587409231154,0.05722070844686648,effective,False,-0.1891438405277499,-0.14822888283378746,-0.16957857859908626,-0.15599762348650917,-0.13798119276392615
BETA30,-0.1794521726659974,0.11132839086866757,-1.6119174207565294,0.06403269754768393,effective,False,-0.1782262194997029,-0.19286841080903894,-0.17145315605089015,-0.15785581119010056,-0.19685726578025442
CNTD30,-0.20440962990473427,0.12220952698039467,-1.672616161402265,0.03814713896457766,effective,False,-0.2223730599817776,-0.20637012155213552,-0.2061275429547206,-0.20775560435994375,-0.17942182067509396
CNTP30,-0.20635342284698305,0.12297377684594463,-1.6780278539016675,0.03678474114441417,effective,False,-0.22631965920033073,-0.2048001980595992,-0.20638023456764404,-0.2117732743893015,-0.1824937480180397
CNTP20,-0.20783412146971963,0.11748820611568277,-1.7689785923284869,0.051771117166212535,effective,False,-0.2341412274462077,-0.23073046492729465,-0.2238892106608053,-0.20198418989506894,-0.14842551441922136
CNTD20,-0.20648715798831824,0.11634801774590015,-1.7747372236223113,0.05313351498637602,effective,False,-0.23510590278506122,-0.23037318011848348,-0.223829581221431,-0.1976478147221741,-0.14547931109444126
SUMP10,-0.19255077470363677,0.10825369679471339,-1.778699299930421,0.04638472032742155,effective,False,-0.23263544421961851,-0.18675251109240895,-0.17979874652524902,-0.1718245135348603,-0.19174265814604724
SUMD10,-0.19255077470363677,0.10825369679471339,-1.778699299930421,0.04638472032742155,effective,False,-0.23263544421961851,-0.18675251109240895,-0.17979874652524902,-0.1718245135348603,-0.19174265814604724
SUMP20,-0.22001401461146405,0.12018119527353924,-1.8306858582218262,0.04365620736698499,effective,False,-0.23647520594410756,-0.22889351619157033,-0.2317328108812276,-0.21663367149114257,-0.1863348685492722
SUMD20,-0.22001401461146405,0.12018119527353924,-1.8306858582218262,0.04365620736698499,effective,False,-0.23647520594410756,-0.22889351619157033,-0.2317328108812276,-0.21663367149114257,-0.1863348685492722
RANK20,-0.19448640871586817,0.10606234611939697,-1.833698912307013,0.0340599455040872,effective,False,-0.22328890104109284,-0.18292070081719827,-0.19104593479275717,-0.16741272174833877,-0.20776378517995372
RSV20,-0.19861177268315586,0.10406986892232165,-1.9084464575563254,0.031292517006802724,effective,False,-0.22088554976684802,-0.19040731162790955,-0.18318178637987823,-0.18284486727021634,-0.21573934837092731
SUMP30,-0.22706468130192603,0.11799937568773905,-1.9242871411693376,0.019099590723055934,effective,False,-0.22794924121918722,-0.23327144600929337,-0.24071844002913145,-0.21465806398670617,-0.21872621526531194
SUMD30,-0.22706468130192603,0.11799937568773905,-1.9242871411693376,0.019099590723055934,effective,False,-0.22794924121918722,-0.23327144600929337,-0.24071844002913145,-0.21465806398670617,-0.21872621526531194
